StateAbb	PlaceName	longitude	latitude	DistancetoCapitalCity_km
CA	AMERICAS BEST VALUE INN	-121.85820	36.59700	200
CA	AMERICAS BEST VALUE INN	-117.19790	32.75760	738
CA	ANGELS CAMP CONDOS	-120.55720	38.07150	94
CA	APPLE FARM	-120.64960	35.29050	352
CA	APPLE TREE INN	-119.63930	37.47260	196
CA	APT Ambulance Company	-118.35308	33.94813	570
CA	AQUAMARINE VILLAS	-117.37650	33.18750	689
CA	ARCHBISHOPS MANSION ALAMO SQUAR	-122.43322	37.77742	102
CA	ARCHSTONE SOUTH OF  MARKET	-122.39710	37.78360	99
CA	ARroyo Trailer Park	-120.59295	35.11942	372
CA	ASA Academy and Community Science Center	-122.25564	37.79760	89
CA	ASCOT INN	-120.85130	35.36640	340
CA	AT&T Park	-122.38941	37.77841	99
CA	AT&T Park	-122.39100	37.77820	99
CA	AUBERGE DU SOLEIL	-122.43660	38.51320	78
CA	AVILA VILLAGE INN	-120.67820	35.26210	355
CA	AZURE SKY RESORT	-116.54140	33.80170	679
CA	Abacherli Canyon	-117.65533	33.92501	606
CA	Abadi Creek	-119.38484	34.60943	461
CA	Abalobadiah Creek	-123.76724	39.56544	232
CA	Abalone Campground	-124.15924	41.13512	379
CA	Abalone Cove	-121.10436	35.55692	316
CA	Abalone Cove	-118.38091	33.73891	589
CA	Abalone Cove Ecological Reserve	-118.37841	33.74168	589
CA	Abalone Point	-122.76610	37.93798	117
CA	Abalone Point	-123.79196	39.66766	241
CA	Abalone Point	-124.16174	41.13401	379
CA	Abalone Point	-118.31702	33.34336	631
CA	Abalone Point	-117.81950	33.55391	633
CA	Abbato (historical)	-120.82769	37.05383	161
CA	Abbe Park	-121.53939	36.84440	170
CA	Abbey Bridge Guard Station (historical)	-120.57494	39.99656	198
CA	Abbott	-121.62552	39.02045	71
CA	Abbott Canyon	-119.70180	35.07636	402
CA	Abbott Creek	-119.01650	36.77217	287
CA	Abbott Lake	-121.60928	39.02010	71
CA	Abbott Lake	-123.18658	41.41649	365
CA	Abbott Lakes	-121.48169	36.23117	239
CA	Abbott Middle School	-122.30962	37.53045	115
CA	Abbott Mine	-122.44526	39.02239	105
CA	Abbott Ranch	-121.46577	36.23052	239
CA	Abbott Ranch	-123.10087	41.40791	361
CA	Abbott Reservoir	-120.86068	40.90613	287
CA	Abbott Spring	-120.85301	40.90876	287
CA	Abbotts Lagoon	-122.95333	38.11742	126
CA	Abbotts Peak	-120.62243	37.97631	93
CA	Abbotts Upper Cabin	-123.18755	41.42958	366
CA	Abby's Anaheimer Inn	-117.92840	33.80330	604
CA	Abel Canyon	-119.86430	34.82332	423
CA	Abel Canyon Campground	-119.86264	34.82276	423
CA	Abel Canyon Spring	-119.81680	34.87109	419
CA	Abel Square Shopping Center	-121.90801	37.42772	110
CA	Abelardo Cabin	-120.75851	36.31024	240
CA	Abelian Group Math School	-122.28768	37.86852	86
CA	Abels Apple Acres	-120.74854	38.74657	81
CA	Aberdeen	-118.25343	36.97799	330
CA	Aberdeen Bypass Ditch	-118.23621	36.96160	332
CA	Aberdeen Canyon	-118.28896	34.11556	557
CA	Aberdeen Ditch	-118.22593	36.96466	333
CA	Aberdeen-Inverness Residence Hall	-117.32532	33.97835	619
CA	Abernathy Meadow	-119.89935	37.87520	156
CA	Abestos Number 1 Prospect	-118.06981	36.89410	349
CA	Abilene	-119.05371	36.14551	333
CA	Able Spring	-122.63209	39.14730	127
CA	Ables Drain	-120.96910	37.42744	118
CA	Abney Butte	-123.16033	41.97596	422
CA	Abolitos Park	-117.06003	32.98338	724
CA	Abraham Lincoln Continuation High School	-117.36616	33.97113	617
CA	Abraham Lincoln Elementary School	-121.31328	38.57130	30
CA	Abraham Lincoln Elementary School	-122.73639	38.44086	103
CA	Abraham Lincoln Elementary School	-118.25258	34.22778	548
CA	Abraham Lincoln Elementary School	-118.04118	33.98612	581
CA	Abraham Lincoln Elementary School	-117.89867	33.83835	602
CA	Abraham Lincoln Elementary School	-117.28865	34.12279	608
CA	Abraham Lincoln Elementary School	-117.90172	33.74113	611
CA	Abraham Lincoln Elementary School	-117.31699	34.07723	611
CA	Abraham Lincoln Elementary School	-117.86061	33.61002	625
CA	Abraham Lincoln Elementary School	-116.37279	33.73447	695
CA	Abraham Lincoln High School	-122.48099	37.74731	107
CA	Abraham Lincoln High School	-118.20368	34.07501	565
CA	Abraham Lincoln High School	-117.09086	32.70311	749
CA	Abraham Lincoln School	-118.33091	34.16417	550
CA	Abraham Lincoln Shrine	-117.18365	34.05362	620
CA	Abraham Plains	-122.05110	40.19766	206
CA	Abraham Ranch Airport	-116.62480	34.41414	624
CA	Abrams 3462-002 Dam	-120.98105	38.84990	72
CA	Abrams Cabin (historical)	-122.93975	41.07264	322
CA	Abrams Canyon	-118.45980	34.67721	496
CA	Abrams Lake	-122.35540	41.33687	335
CA	Abrams Lake Mobile Estates	-122.35529	41.33793	335
CA	Abrams Ravine	-120.54048	39.07157	117
CA	Abraxas Continuation High School	-117.06170	32.98143	724
CA	Abraxis Charter School	-122.72705	38.44729	103
CA	Abundant Grace Christian Center	-117.12672	32.74844	743
CA	Abundant Life Assemblies Church	-121.48218	38.50157	15
CA	Abundant Life Assemblies Pentecostal Church	-121.41051	38.69185	37
CA	Abundant Life Center Assembly of God	-124.09118	40.93540	357
CA	Abundant Life Chapel Assembly of God Church	-119.76264	36.79384	237
CA	Abundant Life Christian Assembly Church	-119.78237	36.73050	241
CA	Abundant Life Church	-121.43050	37.73715	72
CA	Abundant Life Church	-119.02816	35.31718	408
CA	Abundant Life Church	-117.37199	34.38333	581
CA	Abundant Life Church of God in Christ	-121.43023	38.63296	30
CA	Abundant Life Fellowship Church	-120.47239	34.64526	426
CA	Abundant Life Fellowship Church	-117.03975	34.03390	630
CA	Abundant Life Ministries	-117.00933	32.74889	748
CA	Abundant Life Tabernacle of Praise	-121.45440	38.50685	17
CA	Acacia Canal	-121.85663	38.71268	45
CA	Acacia Canal	-115.47110	32.76367	832
CA	Acacia Drain	-115.47360	32.77478	831
CA	Acacia Elementary School	-118.87537	34.19778	523
CA	Acacia Elementary School	-117.89760	33.88240	598
CA	Acacia FIve B Drain	-115.49444	32.76644	830
CA	Acacia Five A Drain	-115.49194	32.77756	829
CA	Acacia Five Drain	-115.46638	32.75172	833
CA	Acacia Lateral Eight	-115.48860	32.79672	828
CA	Acacia Lateral Five	-115.48694	32.75950	831
CA	Acacia Lateral Five A	-115.48194	32.78117	830
CA	Acacia Lateral Four	-115.47805	32.75950	832
CA	Acacia Lateral Nine	-115.46527	32.80922	828
CA	Acacia Lateral Six	-115.47388	32.78950	829
CA	Acacia Lateral Six A	-115.49055	32.78867	828
CA	Acacia Lateral Ten	-115.49305	32.80394	827
CA	Acacia Lateral Three	-115.46999	32.75228	833
CA	Acacia Middle School	-116.96058	33.74474	660
CA	Acacia Mine	-119.78240	38.62157	157
CA	Acacia Park	-121.12744	37.73521	81
CA	Acacia Park	-118.42369	33.93001	568
CA	Acacia Park	-117.89534	33.88335	598
CA	Acacia School	-115.49055	32.78200	829
CA	Acacia Twelve Lateral	-115.49666	32.82089	825
CA	Acacia Twelve Lateral	-115.49305	32.81478	826
CA	Acacia Winery	-122.34386	38.23686	71
CA	Academia Semillas del Pueblo Charter School	-118.18229	34.08529	565
CA	Academic Vocational Charter Institute	-121.77308	36.92374	163
CA	Academy	-119.53874	36.88745	243
CA	Academy Cemetery	-119.54736	36.89384	242
CA	Academy Granite Quarry	-119.52236	36.89356	244
CA	Academy Our Mother of Perpetual Help	-122.00320	37.18626	138
CA	Academy of Art University	-122.40058	37.78770	99
CA	Academy of Arts and Sciences	-122.44924	37.74505	105
CA	Academy of Chinese Culture and Health Sciences	-122.27289	37.80675	90
CA	Academy of Our Lady of Mercy	-122.23222	40.17599	208
CA	Academy of Saint Catherines by the Sea	-119.26983	34.28111	499
CA	Academy of our Lady of Peace	-117.13559	32.76505	741
CA	Acalanes	-122.14358	37.89881	74
CA	Acalanes High School	-122.09885	37.90492	71
CA	Acalanes Ridge Census Designated Place	-122.07857	37.90472	70
CA	Acampo	-121.27856	38.17464	33
CA	Acampo Post Office	-121.27856	38.17492	33
CA	Acatia Drain Six A	-115.50166	32.79228	828
CA	Acatia Lateral Eleven	-115.50083	32.81978	825
CA	Accelerated Achievement Academy	-123.21020	39.16204	168
CA	Accelerated Charter School	-118.39175	34.09612	554
CA	Accent Homes Mobile Home Park	-122.43025	37.42994	131
CA	Accolade Christian School	-122.04413	38.25130	45
CA	Accommodation Spring	-120.04810	40.83516	302
CA	Acebedo	-120.20181	35.83191	307
CA	Acebedo Ranch	-120.18125	35.78496	313
CA	Achelth Creek	-123.88007	41.35318	385
CA	Achieve Academy	-122.22654	37.78218	89
CA	Achieve Kids Special Education School	-122.11235	37.42167	117
CA	Achieve Kids Special Education School	-121.82260	37.35116	117
CA	Achiever Christian School	-121.87507	37.28788	124
CA	Achois Comihavit	-118.46203	34.27361	534
CA	Acid Flat	-120.03186	39.39907	174
CA	Acin Farms	-120.32917	34.67306	426
CA	Acin Quarry	-120.42722	34.63056	428
CA	Acker Island	-121.44884	37.99742	44
CA	Acker Peak	-119.50933	38.10936	182
CA	Ackerman Campground	-122.77169	40.78570	287
CA	Ackerman Creek	-123.19917	39.17850	168
CA	Ackerman Student Union	-118.44425	34.07029	554
CA	Ackerson Creek	-119.87573	37.82104	160
CA	Ackerson Meadow	-119.83490	37.84326	162
CA	Ackerson Mountain	-119.86740	37.83798	160
CA	Ackley Ranch	-123.72115	40.52208	302
CA	Acme (historical)	-116.20086	35.78691	556
CA	Acme Mine	-116.12863	35.76802	563
CA	Acolita	-115.18470	33.07115	824
CA	Acorn	-120.49322	34.65276	424
CA	Acorn Acres Park	-118.87204	34.21389	521
CA	Acorn Canyon	-119.84157	38.76824	155
CA	Acorn Canyon	-117.63617	34.35611	568
CA	Acorn Creek	-121.03300	38.77435	63
CA	Acorn Hollow	-122.04582	39.98766	183
CA	Acorn Lodge	-119.92156	37.52355	172
CA	Acorn Recreation Area	-120.79716	38.17714	70
CA	Acorn Shopping Center	-120.41933	34.86581	403
CA	Acorn Spring	-123.35015	41.25602	354
CA	Acorn Woodland Elementary School	-122.18626	37.75296	89
CA	Acre Foot Reservoir	-120.86046	40.89042	285
CA	Acres Cemetery	-119.47402	36.74773	258
CA	Acrodectes Peak	-118.37510	36.86077	328
CA	Actis	-118.14869	34.95858	487
CA	Activated Ministries	-117.11407	33.07719	712
CA	Acton	-118.19757	34.47016	528
CA	Acton Camp	-118.19813	34.44999	530
CA	Acton Canyon	-118.19952	34.47388	528
CA	Acton Community Cemetery	-118.20174	34.47916	527
CA	Acton Community Presbyterian Church	-118.19694	34.47111	528
CA	Acton Elementary School	-118.19646	34.47277	528
CA	Acton Foursquare Christian Church	-118.20222	34.46833	528
CA	Acton Post Office	-118.19535	34.46833	528
CA	Acton School (historical)	-118.20174	34.46722	528
CA	Acts Christian Academy	-122.19642	37.75851	89
CA	Acts Ministries	-119.76320	36.81051	235
CA	Acuna Park	-118.11618	34.02196	574
CA	Acupuncture and Integrative Medicine College - Berkeley	-122.26759	37.86275	85
CA	Ada Givens Elementary School	-120.45436	37.30577	154
CA	Ada Givens Park	-120.45324	37.30716	154
CA	Ada Harris Park	-117.27420	33.03143	709
CA	Ada S Nelson Elementary School	-118.07535	33.97001	581
CA	Ada W Harris Elementary School	-117.27309	33.03254	709
CA	Adagio	-122.41249	37.78689	100
CA	Adair Community Day School	-122.04074	37.37483	120
CA	Adair Elementary School (historical)	-122.03996	37.37550	119
CA	Adair Lake	-119.40732	37.68299	204
CA	Adam Adler House	-122.45331	38.29353	79
CA	Adam Elementary School	-120.44267	34.93621	395
CA	Adam Park	-120.44239	34.93553	395
CA	Adam Rogers Park	-122.38386	37.73049	102
CA	Adam and Eve Redwoods	-122.83221	38.60408	114
CA	Adams	-122.71971	38.85629	114
CA	Adams Airport (historical)	-119.73959	36.70412	246
CA	Adams Avenue Park	-117.11809	32.76255	742
CA	Adams Barranca	-119.08733	34.32472	502
CA	Adams Camp	-119.76490	38.45047	157
CA	Adams Canyon	-118.55981	34.75970	483
CA	Adams Canyon	-119.10344	34.34667	499
CA	Adams Cove	-120.44043	34.02972	493
CA	Adams Creek	-122.28803	38.69713	73
CA	Adams Creek	-121.31163	39.67128	145
CA	Adams Creek	-123.27751	38.88824	160
CA	Adams Creek	-122.92336	41.12264	326
CA	Adams Creek	-123.58700	41.25902	364
CA	Adams Ditch	-120.82715	37.33438	133
CA	Adams Elementary School	-121.31523	38.00909	46
CA	Adams Elementary School	-119.73426	34.43270	468
CA	Adams Elementary School	-117.43504	33.94445	616
CA	Adams Elementary School	-117.93187	33.67456	616
CA	Adams Field	-117.88694	34.13167	575
CA	Adams Flat	-122.23664	38.47574	60
CA	Adams Flat	-119.04761	36.55356	301
CA	Adams Fox Farm	-124.10257	41.05707	369
CA	Adams Gap	-119.06177	36.54106	301
CA	Adams Hall	-117.88694	34.13111	575
CA	Adams Hill	-118.23563	34.12862	558
CA	Adams Lake	-122.96283	41.11256	326
CA	Adams Lateral	-120.81549	37.76271	94
CA	Adams Memorial Pilgrim Church	-118.14590	34.02251	572
CA	Adams Middle School	-122.31719	37.94437	82
CA	Adams Middle School	-118.36405	33.86607	577
CA	Adams Neck	-120.15132	39.83879	202
CA	Adams Park	-117.89728	33.71613	613
CA	Adams Park	-115.55777	32.79617	824
CA	Adams Peak	-120.10020	39.91074	211
CA	Adams Pit	-120.83938	39.03573	96
CA	Adams Pit	-120.71660	39.02323	102
CA	Adams Plaza Shopping Center	-117.42060	33.92640	618
CA	Adams Point	-122.25528	37.81389	88
CA	Adams Point	-122.25858	37.80493	89
CA	Adams Post Office (historical)	-122.71971	38.85629	114
CA	Adams Ranch	-122.88725	40.85987	298
CA	Adams Ranch	-120.33377	35.05414	385
CA	Adams Ranch	-120.20154	34.99664	395
CA	Adams Ridge	-122.33442	38.75157	79
CA	Adams Ridge	-123.59112	38.97824	189
CA	Adams School	-121.65661	37.03050	150
CA	Adams School	-120.08016	36.95717	205
CA	Adams Springs Golf Course	-122.72471	38.84935	114
CA	Adams Square	-118.24119	34.13362	557
CA	Adams Station	-123.99258	41.84261	437
